,train_err,test_err,state
0,0.010779096101267526,0.010728488755914251,all
1,0.007260717662829844,0.013335403864998584,AK
2,0.008851056938499543,0.015377876848717172,AL
3,0.012403616460736866,0.01852103055611271,AR
4,0.004499889673343246,0.02138280845909052,AZ
5,0.017351438015726403,0.02117633082480946,CA
6,0.004600360319519359,0.004653939142488535,CO
7,0.0028958291214710753,0.006545498684769658,CT
8,0.017691173355629978,0.03212226910943922,DE
9,0.004193619410916411,0.024631505986252304,FL
10,0.014975035407088643,0.007916710647125126,GA
11,0.018032038020937488,0.015047048092906284,HI
12,0.01044120488573791,0.018728185927858958,IA
13,0.014131578468373132,0.021538492278570326,ID
14,0.005426864492669328,0.017475643763220475,IL
15,0.004847328810338722,0.004783428258496398,IN
16,0.010801853894679348,0.016728319388726202,KS
17,0.011506114477083145,0.010839582533278104,KY
18,0.017774473020486896,0.009707206809842843,LA
19,0.007796527598875935,0.019564899992694878,MA
20,0.014048794561805154,0.07940339799864166,MD
21,0.0088460898144777,0.021306281862617654,ME
22,0.00408298175732874,0.015059367983804842,MI
23,0.018412641645411357,0.0316341732386799,MN
24,0.0057398727958730715,0.00669952752461714,MO
25,0.011128832943801978,0.024535886518048385,MS
26,0.004135464423916621,0.028886904683550464,MT
27,0.010558392830961511,0.01768558062746715,NC
28,0.010496785662138365,0.005194481695745147,ND
29,0.01278639684734658,0.02012870088355554,NE
30,0.0064298355834126655,0.01129095575902355,NH
31,0.004076818897517125,0.004031987082310843,NJ
32,0.008530151070894016,0.008829899445755308,NM
33,0.0085202136040356,0.014886089975840103,NV
34,0.020332603671171557,0.002324584342550397,NY
35,0.007242567044673271,0.00465086388974604,OH
36,0.01214195048794086,0.027333244267388035,OK
37,0.003725457510658894,0.00969562610118523,OR
38,0.0034843253643573402,0.0032309192800376043,PA
39,0.018352595192935327,0.012419781062668977,RI
40,0.007927514919012384,0.010361807487031792,SC
41,0.019287736091512332,0.01567453731202423,SD
42,0.009633191250952109,0.00969983760577503,TN
43,0.005703723312907184,0.01922490281261072,TX
44,0.008352242755455172,0.009234868189464195,UT
45,0.014608636160506012,0.019890467568284154,VA
46,0.008827244271945507,0.007528918950348333,VT
47,0.002220243722525744,0.004731144445475782,WA
48,0.0037144662604264313,0.019961749629674664,WI
49,0.0048107644523871845,0.009322399198619801,WV
50,0.03001542476505958,0.017152839029356687,WY
